2009-8-29,1,300.13,297.86,0,1.28,0.64,0,Mild (1-10% Bleached)
2010-5-1,2,262.15,297.79,0,2.43333333333333,-4.74,0,Moderate (11-50% Bleached)
2016-8-16,5,262.15,297.79,0,11.59,1.66,6.08333333333333,Moderate (11-50% Bleached)
2013-8-14,4,262.15,297.79,0,8.21666666666667,0.126666666666667,4.12333333333333,Severe (>50% Bleached)
2013-8-14,1,262.15,297.79,0,8.21666666666667,0.126666666666667,4.12333333333333,Moderate (11-50% Bleached)
2013-8-20,4,262.15,297.79,0,8.21666666666667,0.126666666666667,4.12333333333333,Severe (>50% Bleached)
2008-7-10,10,262.15,297.825,0,3.075,0.735,0.685,No Bleaching
2008-5-3,5,262.15,297.825,0,0,-4.295,0,No Bleaching
2010-8-8,5,262.15,297.825,0,0,-0.515,0,No Bleaching
2013-8-15,1,262.15,297.825,0,8.83,-0.465,4.605,Severe (>50% Bleached)
2013-8-21,2,262.15,297.825,0,8.83,-0.46,4.605,Severe (>50% Bleached)
2013-8-21,2,262.15,297.825,0,8.83,-0.46,4.605,Severe (>50% Bleached)
2008-7-10,8,262.15,297.825,0,3.075,0.735,0.685,No Bleaching
2009-9-5,5,262.15,297.825,0,3.82,0.67,1.77,No Bleaching
2013-8-18,4,262.15,297.825,0,8.83,-0.465,4.605,Severe (>50% Bleached)
2016-7-31,1,301.11,297.73,0,13.78,1.53,2.82,Moderate (11-50% Bleached)
2008-10-25,3,262.15,297.9,0,5.88,-1.53,0,Mild (1-10% Bleached)
2013-8-24,3,262.15,297.9,0,10.16,-0.01,6.62,Severe (>50% Bleached)
2010-9-23,1,298.44,297.62,0,1.48,0.29,0,No Bleaching
2010-9-23,3,298.44,297.62,0,1.48,0.29,0,No Bleaching
2016-7-15,2,301.6,297.62,0,10.75,0.46,0,Moderate (11-50% Bleached)
2016-7-15,2,301.6,297.62,0,10.75,0.46,0,Moderate (11-50% Bleached)
2016-10-1,1,297.61,297.62,0,4.06,-0.35,1.1,Moderate (11-50% Bleached)
2016-9-12,1,298.87,297.62,0,9.42,-0.81,1.1,Severe (>50% Bleached)
2013-9-8,1.5,299.55,297.7,0,6.51,0.53,5.04,Moderate (11-50% Bleached)
2008-11-4,5,295.17,296.76,0,2.43,-1.96,0,Moderate (11-50% Bleached)
2010-9-10,2,297.93,295.39,0,9.87,1.2,3.07,Severe (>50% Bleached)
2016-9-23,1,296.27,295.39,0,2.62,-1.49,2.46,Moderate (11-50% Bleached)
2016-9-1,3,297.93,295.39,0,2.62,-1.12,2.46,Moderate (11-50% Bleached)
2012-8-20,7,297.66,293.47,0,2.42,0.67,1.02,No Bleaching
2009-6-13,15,297.63,293.19,0,5.82,-3.81,0,No Bleaching
2008-7-29,14,262.15,292.83,0,5.8675,-0.235,0,No Bleaching
2008-7-23,18.8,262.15,292.83,0,5.8675,-0.235,0,No Bleaching
2008-7-23,12,262.15,292.83,0,5.8675,-0.235,0,No Bleaching
2016-8-30,6,300.42,298.97,0,11.62,1.31,4.95,Moderate (11-50% Bleached)
